Game ID,Game Name,Platform,Genre,Release Date,Sales (Million $),Player Count (Million),Region,Age Group,Gender,Rating
GAME00155,Director answer smile.,Mobile,Shooter,2023-10-18,3.87,9.01,Europe,36-45,Male,10
GAME00156,Page end institution.,Mobile,RPG,2019-07-28,81.25,33.42,North America,10-18,Female,3
GAME00157,Catch report least.,Mobile,Shooter,2023-08-13,49.42,19.05,Asia,19-25,Female,5
GAME00158,Although blood these.,Nintendo Switch,Action,2022-07-30,13.0,21.2,Asia,10-18,Female,5
GAME00159,Amount wish exist.,PS5,Sports,2014-10-24,45.62,40.9,North America,19-25,Male,3
GAME00160,Return while place.,Xbox,Adventure,2023-09-03,16.14,17.8,Asia,46+,Male,4
GAME00161,Partner different great.,Nintendo Switch,Strategy,2021-09-09,36.75,22.51,South America,46+,Male,1
GAME00162,Daughter increase.,Nintendo Switch,Strategy,2022-07-27,27.67,24.28,North America,19-25,Male,6
GAME00163,Western thousand already.,Nintendo Switch,Sports,2017-11-03,1.89,44.98,Australia,10-18,Male,6
GAME00164,Best resource commercial.,PS5,RPG,2015-04-26,46.58,12.94,Australia,26-35,Male,9
GAME00165,Tax quickly guess.,Mobile,Adventure,2024-04-12,67.88,26.4,Europe,46+,Male,1
GAME00166,Professor mouth front.,Nintendo Switch,Adventure,2019-07-20,57.41,39.57,Australia,19-25,Male,1
GAME00167,Group project.,Mobile,Action,2022-06-03,46.25,8.71,North America,26-35,Male,5
GAME00168,Allow popular process.,PS5,RPG,2014-12-09,56.95,10.51,Europe,19-25,Male,8
GAME00169,Eye.,PS5,Strategy,2022-03-16,23.49,43.71,Australia,10-18,Female,7
GAME00170,Face behind situation.,Mobile,Shooter,2019-08-19,19.84,31.58,Asia,10-18,Male,2
GAME00171,Gun listen resource.,Xbox,RPG,2020-12-16,91.66,43.62,Asia,46+,Male,7
GAME00172,Management table miss.,PS5,Shooter,2019-07-22,37.91,32.04,South America,36-45,Female,6
GAME00173,Almost central team.,PC,Action,2022-01-06,46.99,34.19,South America,10-18,Female,3
GAME00174,Attack across growth near.,Xbox,Adventure,2014-12-23,0.9,38.17,Australia,19-25,Female,1
GAME00175,Civil huge few.,PS5,Sports,2017-12-25,60.81,30.39,Asia,10-18,Female,7
GAME00176,Firm dinner time hope.,Xbox,Action,2016-10-31,69.15,22.34,Asia,46+,Female,10
GAME00177,Century page.,Xbox,Action,2024-04-27,54.48,20.22,South America,26-35,Female,9
GAME00178,Notice.,Mobile,RPG,2023-05-07,53.55,18.75,Asia,36-45,Male,7
GAME00179,Employee think rest.,PS5,Shooter,2024-03-27,5.45,48.03,North America,46+,Male,4
GAME00180,Less if.,Xbox,Sports,2021-05-06,49.39,27.63,North America,46+,Male,5
GAME00181,Painting wish.,PC,Shooter,2016-11-04,61.01,11.6,Australia,36-45,Male,5
GAME00182,Stand throw attack.,Mobile,Adventure,2024-09-25,98.87,41.17,Europe,10-18,Male,6
GAME00183,Over about station pull.,PS5,RPG,2022-07-07,2.13,16.18,Asia,10-18,Female,4
GAME00184,Take Congress.,PC,Strategy,2016-12-09,94.73,9.9,Asia,36-45,Female,6
GAME00185,Build east think.,Xbox,RPG,2016-01-14,77.4,47.54,Australia,36-45,Male,5
GAME00186,Pm consumer concern.,PS5,Adventure,2021-02-25,52.14,33.77,Europe,26-35,Female,6
GAME00187,Physical conference.,PC,Strategy,2015-09-19,19.5,47.89,North America,19-25,Female,7
GAME00188,Wife more yourself.,PS5,Sports,2022-04-04,18.76,40.95,Europe,10-18,Male,5
GAME00189,Parent deep off.,Mobile,Adventure,2021-10-16,15.66,0.33,South America,46+,Female,2
GAME00190,The conference own.,Nintendo Switch,Shooter,2024-08-14,6.61,29.54,South America,36-45,Male,2
GAME00191,Need nearly.,Xbox,Adventure,2015-10-18,47.4,41.63,Australia,10-18,Female,2
GAME00192,Step himself.,Nintendo Switch,Action,2018-03-31,53.23,33.84,North America,26-35,Male,7
GAME00193,Whatever mind write.,Mobile,Action,2020-02-07,10.47,38.38,South America,10-18,Male,5
GAME00194,Write decide behavior.,Xbox,RPG,2020-01-16,65.82,34.68,North America,26-35,Male,2
GAME00195,Get administration example.,PC,Strategy,2023-10-31,84.87,20.65,Asia,10-18,Female,5
GAME00196,Life their standard.,Mobile,RPG,2016-04-30,2.68,38.1,North America,10-18,Male,8
GAME00197,Man person base.,Xbox,Sports,2016-10-19,34.61,36.89,Australia,26-35,Female,6
GAME00198,Expect must.,Xbox,RPG,2021-05-18,70.89,11.21,Europe,46+,Female,3
GAME00199,Arrive ok none.,Nintendo Switch,Action,2019-10-16,49.66,45.77,South America,19-25,Male,4
GAME00200,Decision worry.,PS5,Sports,2020-03-13,89.52,7.08,North America,26-35,Male,4
GAME00201,Student rule.,PS5,Shooter,2019-10-13,46.75,4.3,South America,26-35,Male,9
GAME00202,Action.,PC,Adventure,2023-06-24,27.66,23.95,Europe,19-25,Male,5
GAME00203,Yard issue become.,Mobile,Adventure,2021-11-07,31.34,27.65,Australia,26-35,Male,10
GAME00204,Draw.,PC,Action,2020-06-05,84.32,47.97,Europe,26-35,Male,9
GAME00205,Kind our maybe.,Mobile,Shooter,2019-01-08,38.26,44.39,Australia,19-25,Male,1
GAME00206,Increase recognize brother born.,Nintendo Switch,Sports,2022-05-20,64.37,4.07,South America,36-45,Male,3
GAME00207,Character.,Xbox,Strategy,2018-07-21,9.77,16.78,Europe,10-18,Male,10
GAME00208,Value show office.,Xbox,RPG,2023-09-08,11.97,42.7,Europe,46+,Female,8
GAME00209,Of create.,Mobile,Action,2024-09-08,23.68,4.51,North America,46+,Male,1
GAME00210,Consumer cell public.,Mobile,Strategy,2022-04-19,54.03,48.5,North America,10-18,Female,8
GAME00211,Election popular.,PS5,Action,2022-04-28,63.94,32.24,South America,10-18,Male,9
GAME00212,Senior.,PS5,Action,2020-10-09,58.97,24.67,North America,46+,Male,1
GAME00213,Then must run large.,Xbox,Adventure,2016-10-30,62.54,21.98,Asia,46+,Male,3
GAME00214,Better several.,Nintendo Switch,Strategy,2020-10-30,4.0,1.53,South America,36-45,Male,3
GAME00215,Within entire.,PS5,Adventure,2019-12-13,75.75,36.19,South America,26-35,Male,6
GAME00216,Usually view training.,Nintendo Switch,RPG,2021-08-10,93.79,35.81,Australia,26-35,Female,8
GAME00217,Officer course.,PS5,Shooter,2016-04-21,70.15,46.27,North America,19-25,Male,9
GAME00218,Tax toward door.,Nintendo Switch,Strategy,2024-04-13,82.11,9.33,Australia,19-25,Male,1
GAME00219,Media upon side.,Mobile,RPG,2022-08-06,83.22,5.72,North America,26-35,Male,5
GAME00220,Hear he suddenly.,Mobile,Adventure,2021-11-01,80.52,25.28,Australia,46+,Female,7
GAME00221,Hard television upon.,PC,RPG,2021-02-07,48.37,6.13,Australia,36-45,Male,10
GAME00222,Oil out executive.,PC,Adventure,2017-10-03,40.97,8.83,South America,46+,Male,10
GAME00223,Free.,PC,Action,2019-07-27,20.62,33.95,North America,26-35,Female,2
GAME00224,Billion evening.,Mobile,Adventure,2017-03-17,56.3,0.13,Europe,19-25,Female,7
GAME00225,Card degree form article.,Nintendo Switch,Action,2018-08-08,68.37,43.92,North America,36-45,Male,4
GAME00226,Into someone practice.,Xbox,Sports,2014-10-02,48.37,3.91,North America,36-45,Male,2
GAME00227,Decade yeah.,Xbox,Adventure,2015-09-16,24.88,18.83,Asia,10-18,Male,3
GAME00228,Per baby eat.,Nintendo Switch,Adventure,2017-01-16,99.71,10.6,Europe,46+,Male,2
GAME00229,Former coach.,Xbox,Sports,2014-10-24,57.84,38.3,Asia,26-35,Male,6
GAME00230,Run turn.,Xbox,Adventure,2021-12-12,4.57,40.64,North America,36-45,Male,10
GAME00231,Question entire discover.,Xbox,RPG,2022-11-27,66.95,20.75,South America,46+,Male,3
GAME00232,Many within matter.,PS5,Adventure,2017-12-02,76.44,2.07,Asia,10-18,Female,3
GAME00233,Capital guess.,Mobile,Action,2016-12-19,1.85,13.15,Asia,19-25,Female,3
GAME00234,Indeed.,Nintendo Switch,Strategy,2020-02-13,28.56,14.32,South America,19-25,Male,2
GAME00235,Pressure learn.,Nintendo Switch,RPG,2015-04-26,83.83,49.84,Asia,46+,Female,2
GAME00236,Show itself.,PC,Action,2019-12-05,41.81,17.49,North America,36-45,Female,4
GAME00237,We company bag.,PC,Shooter,2021-07-07,79.47,12.55,Europe,36-45,Male,5
GAME00238,Focus everybody put.,PS5,Shooter,2021-10-02,53.84,47.54,Europe,26-35,Female,2
GAME00239,A name.,PC,Shooter,2016-12-04,85.58,31.37,South America,26-35,Female,7
GAME00240,Option.,PS5,Sports,2024-04-30,7.14,6.91,Europe,46+,Female,2
GAME00241,Congress several rise.,PC,RPG,2022-08-10,34.24,17.79,South America,46+,Female,7
GAME00242,Machine.,Xbox,Action,2018-04-06,41.76,5.88,Australia,19-25,Female,10
GAME00243,Current later strategy.,Nintendo Switch,Adventure,2019-04-17,90.2,35.22,South America,26-35,Male,1
GAME00244,Whose chair agreement.,PS5,Strategy,2021-06-12,96.54,22.88,South America,19-25,Male,8
GAME00245,Fill practice people.,Nintendo Switch,Strategy,2016-06-09,58.91,6.6,South America,26-35,Female,2
GAME00246,Art without position seat.,PS5,Adventure,2023-07-31,17.21,46.7,North America,10-18,Male,3
GAME00247,Truth and.,Mobile,RPG,2022-05-16,15.9,48.67,Europe,10-18,Male,4
GAME00248,Myself but.,PS5,RPG,2022-08-15,20.53,40.07,Asia,19-25,Female,4
GAME00249,Rise hospital.,Nintendo Switch,Strategy,2022-07-10,28.75,30.86,North America,10-18,Male,2
GAME00250,Tv moment car.,PC,Sports,2019-03-17,45.22,28.07,Europe,10-18,Male,3
GAME00251,Policy doctor glass society.,Xbox,Adventure,2020-12-29,85.61,28.92,South America,19-25,Female,9
GAME00252,Around top.,PS5,Strategy,2022-06-03,72.05,11.58,South America,19-25,Male,8
GAME00253,Current.,Xbox,Action,2022-06-25,17.41,12.57,Australia,46+,Male,7
GAME00254,Behavior interesting.,PS5,Shooter,2023-03-26,65.31,39.5,Asia,19-25,Female,7
GAME00255,Far even.,PC,Shooter,2022-02-09,24.23,9.87,South America,19-25,Male,3
GAME00256,Bed may.,Nintendo Switch,Sports,2020-11-19,90.81,36.01,Europe,46+,Female,3
GAME00257,Firm energy him.,PC,Adventure,2024-08-06,42.29,43.29,Europe,10-18,Male,5
GAME00258,Teach question report power.,PS5,Shooter,2019-01-02,7.33,48.42,North America,36-45,Male,5
GAME00259,Glass.,PS5,Shooter,2015-03-13,90.39,6.58,Europe,10-18,Male,4
GAME00260,One growth.,Xbox,Shooter,2020-03-04,97.5,19.6,South America,46+,Female,2
GAME00261,Without high view.,PC,Shooter,2018-08-07,22.26,8.98,Australia,46+,Female,9
GAME00262,Mind debate old water.,PS5,Shooter,2019-08-26,91.91,17.49,Asia,19-25,Female,1
GAME00263,Rise condition right.,PC,Sports,2015-06-12,42.84,26.85,South America,26-35,Female,1
GAME00264,Each establish.,Nintendo Switch,Sports,2016-11-21,38.21,1.68,Australia,36-45,Female,8
GAME00265,Organization form per.,PS5,Strategy,2023-03-25,90.32,17.49,North America,19-25,Female,6
GAME00266,Identify green.,Xbox,Strategy,2022-05-12,81.46,16.97,North America,26-35,Female,9
GAME00267,Little door.,PC,Action,2015-12-06,5.13,21.32,South America,36-45,Female,2
GAME00268,Would range.,Xbox,RPG,2017-11-03,85.16,41.78,South America,36-45,Female,3
GAME00269,With million threat.,PC,RPG,2023-02-27,63.06,0.24,North America,46+,Male,4
GAME00270,Others establish.,Nintendo Switch,Action,2022-06-06,43.72,38.36,North America,26-35,Male,3
GAME00271,Head also necessary medical.,Xbox,Action,2019-08-12,83.04,32.43,North America,10-18,Male,6
GAME00272,All consumer.,PC,Adventure,2022-07-10,40.34,27.55,Asia,10-18,Male,10
GAME00273,Everyone nearly.,Mobile,Sports,2018-11-26,71.69,44.31,North America,46+,Female,6
GAME00274,Up authority red.,PC,Adventure,2020-11-22,42.85,7.67,Asia,26-35,Female,5
GAME00275,Player.,Xbox,RPG,2019-12-08,94.94,18.03,Australia,26-35,Female,2
GAME00276,Eight economy.,Nintendo Switch,Adventure,2015-09-07,7.23,3.76,Australia,46+,Female,4
GAME00277,See middle through.,PC,Adventure,2024-06-14,80.59,33.41,North America,19-25,Male,7
